cell_id,vaccine_element,log_p_no_response,p_no_response,p_response,log_p_response
13,mut33,-0.1906217396087409,0.8264451404965794,0.17355485950342064,-1.7512615364704385
13,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
14,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut15,-1.472225464901819,0.2294143630425559,0.7705856369574441,-0.26060448574208134
14,mut19,-0.5919626860886038,0.5532403812582997,0.44675961874170034,-0.8057345946949135
14,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut28,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut33,-0.9631520316746279,0.3816878955521811,0.6183121044478189,-0.48076192562748593
14,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
14,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
15,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut15,-0.7825826256972557,0.4572236476192623,0.5427763523807376,-0.6110579179602463
15,mut19,-0.6872726558929299,0.5029459067625375,0.4970540932374625,-0.6990564192961013
15,mut20,-0.38124167921739277,0.6830127996724046,0.3169872003275954,-1.148893883435522
15,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut28,-0.8332265458176004,0.4346446206481812,0.5653553793518188,-0.5703007555637795
15,mut33,-0.1906217396087409,0.8264451404965794,0.17355485950342064,-1.7512615364704385
15,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
15,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
16,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
16,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
16,mut15,-0.867842061870302,0.41985659693750504,0.580143403062495,-0.544479959342616
16,mut19,-0.9385870492532059,0.3911801633644534,0.6088198366355466,-0.49623288979276975
16,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
